DATA,606/1042,606/1050,606/985
05/07/2013 00:00,20.39,18.09,
06/08/2013 00:00,,,25.44
08/08/2013 00:00,19.47,17.21,
05/09/2013 00:00,18.48,16.43,
17/09/2013 00:00,,,23.49
26/09/2013 00:00,18.21,15.99,
03/10/2013 00:00,,,23.32
21/11/2013 00:00,17.99,16.01,23.23
29/01/2014 00:00,18.13,17.33,23.51
07/03/2014 00:00,18.63,17.21,24.36
23/05/2014 00:00,,,24.42
26/05/2014 00:00,18.94,17.06,
20/06/2014 00:00,18.19,16.09,
02/07/2014 00:00,,,22.89
04/08/2014 00:00,16.95,14.23,
12/08/2014 00:00,,,20.16
03/09/2014 00:00,,,18.28
23/09/2014 00:00,15.91,13.65,
03/10/2014 00:00,,,17.44
07/11/2014 00:00,15.59,13.66,
10/11/2014 00:00,,,
12/12/2014 00:00,,,20.19
15/12/2014 00:00,17.13,15.71,
14/01/2015 00:00,17,14.57,
15/01/2015 00:00,,,20.67
12/02/2015 00:00,17.61,15.31,
13/02/2015 00:00,,,21.62
10/03/2015 00:00,,,
11/03/2015 00:00,,,21.43
16/03/2015 00:00,17.11,14.96,
08/04/2015 00:00,,,20.99
